FIRM,Class,Start,End,TOD,FIRMF,Length,Night,Gap,WS,Idx,Base,StartAdj,LenAdj,Comp,Trans,Press,P1S,P1L,P2S,P2L,MalAdj,NFZ,WNFZ,AFZ,WAFZ,MFZ,WMFZ,NBad,TIW,RIW,HIW,SIW,CCW
1,0,914,1556,-1,1,642,0,414,0,2,6.00,0.00,0.00,-3.00,-1.00,-0.67,2,546,-3,746,0,0,0,0,1,0,0,0,3095,2,1,2,0.00
5,0,680,811,-1,5,131,0,999,1,1,6.00,0.00,0.00,0.00,-1.00,0.00,1,750,5,645,1,0,0,0,0,0,0,0,1395,1,0,2,0.00
-9,1,1410,2225,1530,-10,815,0,999,0,9,6.00,0.00,0.00,0.00,-5.00,-10.33,-10,720,-8,665,1,0,1,0,0,0,0,1,3375,2,5,4,2.00
1,0,1395,2130,-1,1,735,1,840,0,3,3.00,0.00,-0.25,0.00,0.00,-2.00,-1,745,2,795,0,0,1,0,0,0,0,0,3550,0,0,1,0.00
-2,0,1390,2135,-1,-2,745,1,715,0,2,3.00,0.00,-0.25,0.00,-4.00,-1.00,-1,435,1,761,1,0,1,0,0,0,0,0,3211,2,1,4,3.00
4,1,1410,2225,1530,1,815,0,999,0,2,6.00,0.00,0.00,0.00,-1.00,-0.67,2,720,-7,745,1,0,1,0,0,0,0,0,2190,3,3,4,0.00
1,0,460,1210,-1,1,750,0,570,0,4,6.00,-0.25,-0.25,-1.50,-1.00,-2.33,3,810,2,600,0,0,0,0,1,0,0,0,2125,0,0,3,0.50
-2,0,850,1430,-1,-2,580,0,480,0,4,6.00,0.00,0.00,-3.00,-2.00,-2.67,0,720,1,690,1,0,0,0,1,0,0,0,3020,1,0,4,2.50
5,1,1315,2020,1530,1,705,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,-2,580,0,720,1,0,1,0,0,0,0,0,0,0,0,0,0.00
-1,0,595,1165,-1,-1,570,0,495,0,4,6.00,0.00,0.00,-2.75,-2.00,-2.33,2,410,1,735,0,0,0,0,1,0,0,0,1790,1,0,3,0.00
5,1,1315,2020,1530,1,705,0,999,1,1,6.00,0.00,0.00,0.00,0.00,0.00,1,305,-1,740,1,0,1,0,0,0,0,0,1795,2,0,3,0.00
0,0,1425,1925,-1,0,500,1,960,0,4,3.00,0.00,0.00,0.00,0.00,-3.00,1,480,2,480,0,0,1,0,0,0,0,0,1440,0,0,1,0.00
-9,0,480,960,-1,-9,480,0,960,0,13,6.00,0.00,0.00,0.00,-1.00,-14.17,-8,480,-7,480,1,0,0,0,1,0,0,0,2880,0,6,2,0.00
2,2,1335,1830,1530,0,495,0,999,0,3,6.00,0.00,0.00,0.00,-2.00,-1.67,1,615,2,320,1,0,1,0,0,0,0,0,2585,1,0,3,1.50
-5,0,90,570,-1,-5,480,1,720,0,6,3.00,0.00,0.00,0.00,-4.00,-4.00,-3,540,1,174,0,0,1,0,0,0,0,0,2724,4,2,4,5.50
-10,0,1140,1555,-1,-10,415,0,945,0,16,6.00,0.00,0.00,0.00,-7.00,-19.00,-10,435,-10,715,1,0,0,0,0,0,0,5,4324,2,7,5,11.00
-10,2,0,390,90,-10,390,0,870,0,25,6.00,-4.00,0.00,0.00,-9.00,-32.33,-10,690,-10,490,1,0,1,0,0,0,0,14,3302,1,7,7,18.00
